code,name,:LABEL
E01000006,Barking and Dagenham 016A,LSOA
E01000007,Barking and Dagenham 015A,LSOA
E01000008,Barking and Dagenham 015B,LSOA
E01000009,Barking and Dagenham 016B,LSOA
E01000011,Barking and Dagenham 016C,LSOA
E01000012,Barking and Dagenham 015D,LSOA
E01000013,Barking and Dagenham 013A,LSOA
E01000014,Barking and Dagenham 013B,LSOA
E01000015,Barking and Dagenham 009A,LSOA
E01000016,Barking and Dagenham 009B,LSOA
E01000017,Barking and Dagenham 009C,LSOA
E01000018,Barking and Dagenham 009D,LSOA
E01000019,Barking and Dagenham 023A,LSOA
E01000020,Barking and Dagenham 023B,LSOA
E01000021,Barking and Dagenham 008A,LSOA
E01000022,Barking and Dagenham 008B,LSOA
E01000024,Barking and Dagenham 008D,LSOA
E01000025,Barking and Dagenham 008E,LSOA
E01000027,Barking and Dagenham 001A,LSOA
E01000028,Barking and Dagenham 001B,LSOA
E01000029,Barking and Dagenham 001C,LSOA
E01000030,Barking and Dagenham 001D,LSOA
E01000031,Barking and Dagenham 002A,LSOA
E01000032,Barking and Dagenham 002B,LSOA
E01000033,Barking and Dagenham 006A,LSOA
E01000034,Barking and Dagenham 003A,LSOA
E01000035,Barking and Dagenham 010A,LSOA
E01000036,Barking and Dagenham 010B,LSOA
E01000037,Barking and Dagenham 003B,LSOA
E01000038,Barking and Dagenham 003C,LSOA
E01000039,Barking and Dagenham 003D,LSOA
E01000040,Barking and Dagenham 019A,LSOA
E01000041,Barking and Dagenham 017A,LSOA
E01000042,Barking and Dagenham 017B,LSOA
E01000043,Barking and Dagenham 019B,LSOA
E01000044,Barking and Dagenham 016D,LSOA
E01000045,Barking and Dagenham 017C,LSOA
E01000046,Barking and Dagenham 017D,LSOA
E01000049,Barking and Dagenham 021C,LSOA
E01000050,Barking and Dagenham 019C,LSOA
E01000051,Barking and Dagenham 021D,LSOA
E01000052,Barking and Dagenham 019D,LSOA
E01000053,Barking and Dagenham 020A,LSOA
E01000054,Barking and Dagenham 018A,LSOA
E01000055,Barking and Dagenham 018B,LSOA
E01000056,Barking and Dagenham 018C,LSOA
E01000057,Barking and Dagenham 012A,LSOA
E01000058,Barking and Dagenham 018D,LSOA
E01000059,Barking and Dagenham 013C,LSOA
E01000060,Barking and Dagenham 006B,LSOA
E01000061,Barking and Dagenham 006C,LSOA
E01000062,Barking and Dagenham 006D,LSOA
E01000063,Barking and Dagenham 004A,LSOA
E01000064,Barking and Dagenham 006E,LSOA
E01000065,Barking and Dagenham 007A,LSOA
E01000066,Barking and Dagenham 011A,LSOA
E01000067,Barking and Dagenham 011B,LSOA
E01000068,Barking and Dagenham 016E,LSOA
E01000069,Barking and Dagenham 011C,LSOA
E01000070,Barking and Dagenham 011D,LSOA
E01000071,Barking and Dagenham 011E,LSOA
E01000072,Barking and Dagenham 017E,LSOA
E01000073,Barking and Dagenham 012B,LSOA
E01000074,Barking and Dagenham 012C,LSOA
E01000075,Barking and Dagenham 012D,LSOA
E01000076,Barking and Dagenham 012E,LSOA
E01000077,Barking and Dagenham 008F,LSOA
E01000078,Barking and Dagenham 007B,LSOA
E01000079,Barking and Dagenham 009E,LSOA
E01000080,Barking and Dagenham 007C,LSOA
E01000081,Barking and Dagenham 007D,LSOA
