code,name,:LABEL
E05011243,Fullwell,Ward
E05013805,Regent's Park,Ward
E05013747,Sands End,Ward
E05013929,Berrylands,Ward
E05013543,Canons,Ward
E05009380,Lea Bridge,Ward
E05011104,London Bridge & West Bermondsey,Ward
E05013577,Ruislip,Ward
E05013659,Hampstead Town,Ward
E05014103,Gipsy Hill,Ward
E05011481,Selsdon Vale & Forestdale,Ward
E05013920,Plaistow West & Canning Town East,Ward
E05014114,Streatham Hill West & Thornton,Ward
E05013744,Palace & Hurlingham,Ward
E05013513,Welsh Harp,Ward
E05014016,Northcote,Ward
E05013759,Hackbridge,Ward
E05013509,Roundwood,Ward
E05013883,Cathall,Ward
E05013736,College Park & Old Oak,Ward
E05013884,Chapel End,Ward
E05013806,St James's,Ward
E05013989,Biggin Hill,Ward
E05013725,Ladywell,Ward
E05014053,Abbey,Ward
E05013627,Syon & Brentford Lock,Ward
E05013634,Cricklewood,Ward
E05013529,North Hanwell,Ward
E05014021,Southfields,Ward
E05009387,Woodberry Down,Ward
E05013907,Canning Town South,Ward
E05013905,Boleyn,Ward
E05013820,Merton Park,Ward
E05013724,Hither Green,Ward
E05013597,St Ann's,Ward
E05013654,Camden Square,Ward
E05013662,Holborn & Covent Garden,Ward
E05013971,Gooshays,Ward
E05013551,Kenton East,Ward
E05013792,Abbey Road,Ward
E05013524,Hanger Hill,Ward
E05013783,Mortlake & Barnes Common,Ward
E05013711,St Peter's & Canalside,Ward
E05009396,Golborne,Ward
E05014003,Petts Wood & Knoll,Ward
E05013540,Southfield,Ward
E05013801,Marylebone,Ward
E05013772,Worcester Park North,Ward
E05013669,St Pancras & Somers Town,Ward
E05013559,Roxeth,Ward
E05011488,West Thornton,Ward
E05013752,White City,Ward
E05013814,Figge's Marsh,Ward
E05013798,Lancaster Gate,Ward
E05013549,Hatch End,Ward
E05013624,Hounslow West,Ward
E05013902,William Morris,Ward
E05014066,Northbury,Ward
E05011227,Longlands,Ward
E05014057,Becontree,Ward
E05014002,Penge & Cator,Ward
E05013511,Sudbury,Ward
E05009405,Stanley,Ward
E05009328,Poplar,Ward
E05013576,Pinkwell,Ward
E05013503,Kilburn,Ward
E05013562,Wealdstone South,Ward
E05014023,Tooting Bec,Ward
E05013900,Upper Walthamstow,Ward
E05013777,"Ham, Petersham & Richmond Riverside",Ward
E05011486,Thornton Heath,Ward
E05014100,Clapham East,Ward
E05013623,Hounslow South,Ward
E05013635,East Barnet,Ward
E05009330,St Katharine's & Wapping,Ward
E05013979,Rainham & Wennington,Ward
E05009381,London Fields,Ward
E05013757,Carshalton South & Clockhouse,Ward
E05011249,Monkhams,Ward
E05013895,Lea Bridge,Ward
E05013898,Markhouse,Ward
E05014115,Streatham St Leonard's,Ward
E05013827,West Barnes,Ward
E05013892,Higham Hill,Ward
E05014006,St Mary Cray,Ward
E05013912,Forest Gate South,Ward
E05011224,East Wickham,Ward
E05013555,Pinner,Ward
E05013750,Wendell Park,Ward
E05014098,Brixton Windrush,Ward
E05013941,Norbiton,Ward
E05013991,Bromley Town,Ward
E05013631,Childs Hill,Ward
E05013598,Seven Sisters,Ward
E05013946,Tudor,Ward
E05014010,Battersea Park,Ward
E05013742,Lillie,Ward
E05013687,Oakwood,Ward
E05013990,Bromley Common & Holwood,Ward
E05013586,Bounds Green,Ward
E05014069,Valence,Ward
E05013684,Jubilee,Ward
E05009398,Norland,Ward
E05013828,Wimbledon Park,Ward
E05013656,Fortune Green,Ward
E05009394,Dalgarno,Ward
E05013570,Heathrow Villages,Ward
E05013665,Kilburn,Ward
E05013816,Hillside,Ward
E05009329,St Dunstan's,Ward
E05013923,Royal Victoria,Ward
E05013716,Brockley,Ward
E05013553,Marlborough,Ward
E05011253,Valentines,Ward
E05013636,East Finchley,Ward
E05009375,Haggerston,Ward
E05011234,Aldborough,Ward
E05011489,Woodside,Ward
E05014007,St Paul's Cray,Ward
E05013580,Uxbridge,Ward
E05011109,Old Kent Road,Ward
E05011232,Thamesmead East,Ward
E05013904,Beckton,Ward
E05013729,Perry Vale,Ward
E05013685,Lower Edmonton,Ward
E05013889,Hale End & Highams Park South,Ward
E05013701,Canonbury,Ward
E05013899,St James,Ward
E05013931,Chessington South & Malden Rushett,Ward
E05013810,Abbey,Ward
E05013626,Osterley & Spring Grove,Ward
E05011242,Fairlop,Ward
E05013593,Hornsey,Ward
E05014004,Plaistow,Ward
E05013733,Addison,Ward
E05013617,Heston Central,Ward
E05013650,Whetstone,Ward
E05013987,Beckenham Town & Copers Cope,Ward
E05013571,Hillingdon East,Ward
E05013887,Forest,Ward
E05011240,Clementswood,Ward
E05013554,North Harrow,Ward
E05011472,Norbury & Pollards Hill,Ward
E05013804,Queen's Park,Ward
E05014060,Eastbury,Ward
E05011235,Barkingside,Ward
E05013996,Darwin,Ward
E05013661,Highgate,Ward
E05009395,Earl's Court,Ward
E05011218,Belvedere,Ward
E05011484,South Croydon,Ward
E05013600,Stroud Green,Ward
E05011230,Sidcup,Ward
E05013642,Golders Green,Ward
E05013974,Havering-atte-Bower,Ward
E05014008,West Wickham,Ward
E05013901,Valley,Ward
E05013782,Kew,Ward
E05011099,Dulwich Hill,Ward
E05013591,Hermitage & Gardens,Ward
E05014011,East Putney,Ward
E05014087,Plumstead & Glyndon,Ward
E05013667,Primrose Hill,Ward
E05013502,Kenton,Ward
E05013655,Camden Town,Ward
E05013992,Chelsfield,Ward
E05013547,Harrow on the Hill,Ward
E05013993,Chislehurst,Ward
E05013984,South Hornchurch,Ward
E05013714,Bellingham,Ward
E05011100,Dulwich Village,Ward
E05011111,Peckham Rye,Ward
E05013517,Willesden Green,Ward
E05013721,Evelyn,Ward
E05013743,Munster,Ward
E05013574,Northwood,Ward
E05014113,Streatham Hill East,Ward
E05013985,Squirrels Heath,Ward
E05013594,Muswell Hill,Ward
E05013925,Stratford Olympic Park,Ward
E05009378,Hoxton West,Ward
E05011233,West Heath,Ward
E05013658,Gospel Oak,Ward
E05013647,Underhill,Ward
E05013522,East Acton,Ward
E05013788,Teddington,Ward
E05014089,Shooters Hill,Ward
E05009393,Courtfield,Ward
E05011478,Sanderstead,Ward
E05013916,Manor Park,Ward
E05013637,Edgware,Ward
E05013558,Roxbourne,Ward
E05013697,Arsenal,Ward
E05014056,Beam,Ward
E05011223,Crook Log,Ward
E05011098,Chaucer,Ward
E05013612,Cranford,Ward
E05013983,St Edward's,Ward
E05014061,Gascoigne,Ward
E05013765,Sutton Central,Ward
E05013628,Barnet Vale,Ward
E05013786,South Richmond,Ward
E05013726,Lee Green,Ward
E05013775,East Sheen,Ward
E05013824,St Helier,Ward
E05013802,Pimlico North,Ward
E05009333,Spitalfields & Banglatown,Ward
E05013722,Forest Hill,Ward
E05014108,Oval,Ward
E05013707,Junction,Ward
E05013704,Highbury,Ward
E05014000,Mottingham,Ward
E05013633,Colindale South,Ward
E05013510,Stonebridge,Ward
E05014022,Thamesfield,Ward
E05013891,High Street,Ward
E05013771,Wallington South,Ward
E05013530,Northfield,Ward
E05013969,Elm Park,Ward
E05014099,Clapham Common & Abbeville,Ward
E05013569,Hayes Town,Ward
E05013584,Yiewsley,Ward
E05013683,Highfield,Ward
E05011238,Churchfields,Ward
E05013692,Southgate,Ward
E05013933,Coombe Vale,Ward
E05011114,St George's,Ward
E05013994,Clock House,Ward
E05013978,Mawneys,Ward
E05013821,Pollards Hill,Ward
E05013668,Regent's Park,Ward
E05009323,Canary Wharf,Ward
E05013970,Emerson Park,Ward
E05009401,Queen's Gate,Ward
E05013973,Harold Wood,Ward
E05013935,Hook & Chessington North,Ward
E05013660,Haverstock,Ward
E05013595,Noel Park,Ward
E05013807,Vincent Square,Ward
E05014074,Charlton Hornfair,Ward
E05009331,St Peter's,Ward
E05013556,Pinner South,Ward
E05014005,Shortlands & Park Langley,Ward
E05013609,Chiswick Gunnersbury,Ward
E05013999,Kelsey & Eden Park,Ward
E05011221,Blendon & Penhill,Ward
E05013913,Green Street East,Ward
E05009335,Weavers,Ward
E05014026,Wandle,Ward
E05013710,St Mary's & St James',Ward
