name,:LABEL
Barking and Dagenham,Borough
Barnet,Borough
Bexley,Borough
Brent,Borough
Bromley,Borough
Camden,Borough
Croydon,Borough
Ealing,Borough
Enfield,Borough
Greenwich,Borough
Hackney,Borough
Hammersmith and Fulham,Borough
Haringey,Borough
Harrow,Borough
Havering,Borough
Hillingdon,Borough
Hounslow,Borough
Islington,Borough
Kensington and Chelsea,Borough
Kingston upon Thames,Borough
Lambeth,Borough
Lewisham,Borough
London Heathrow and London City Airports,Borough
Merton,Borough
Newham,Borough
Redbridge,Borough
Richmond upon Thames,Borough
Southwark,Borough
Sutton,Borough
Tower Hamlets,Borough
Unknown,Borough
Waltham Forest,Borough
Wandsworth,Borough
Westminster,Borough
