Organisation,Account No,Country,City Short Name,C40,Reporting Year,Sector,Target boundary,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Comment,City Location,Country Location,id
Odder Kommune,58796,Denmark,Odder Kommune,,2016,Total,,2010,6136.0,2.0,,,"(55.975718, 10.149958)","(56.26392, 9.501785)",1
Comune di Napoli,36158,Italy,Napoli,,2016,Total,,2005,2913434.0,25.0,2020.0,,"(40.8419943, 14.2513831)","(41.87194, 12.56738)",2
Egedal Municipality,62855,Denmark,Egedal Municipality,,2016,Total,,2009,268000.0,7.0,2020.0,"The municipality are increasing in terms of citizens, business, buldings,highways etc.","(55.795045, 12.238733)","(56.26392, 9.501785)",3
Yilan County,61753,Taiwan,Yilan ,,2016,Total,,2009,3804493.0,35.0,2020.0,,"(24.702107, 121.73775)","(23.69781, 120.960515)",4
"City of Emeryville, CA",61790,USA,"Emeryville, Ca",,2016,Total,Overall community emissions,2004,178832.0,40.0,2030.0,,"(37.831316, -122.285247)","(37.09024, -95.712891)",5
"City of Emeryville, CA",61790,USA,"Emeryville, Ca",,2016,Total,Overall community emissions,2004,178832.0,80.0,2050.0,,"(37.831316, -122.285247)","(37.09024, -95.712891)",5
Communauté urbaine du Grand Nancy,62180,France,Communauté Urbaine Du Grand Nancy,,2016,Total,,1990,1700000.0,20.0,2020.0,,"(48.692054, 6.184417)","(46.227638, 2.213749)",6
Aarhus Kommune,54408,Denmark,Aarhus Kommune,,2016,Total,community,2008,2100000.0,100.0,2030.0,,"(56.168393, 10.137373)","(56.26392, 9.501785)",7
Amiens Métropole,54425,France,Amiens Métropole,,2016,,,2012,630000.0,20.0,2020.0,,"(49.894067, 2.295753)","(46.227638, 2.213749)",8
Ayuntamiento de Murcia,54498,Spain,Murcia,,2016,Total,,2007,2141272.0,20.0,2020.0,DATA IN CO2 (NOT CO2e),"(37.799013, -1.00495)","(40.463667, -3.74922)",9
City of Atlanta,1093,USA,Atlanta,,2016,Waste,city-wide control,2009,800000.0,80.0,2020.0,Reevaluation of recycling curbing and educational programs with public and private sector,"(33.7489954, -84.3879824)","(37.09024, -95.712891)",10
Barreiro,50679,Portugal,Barreiro,,2016,Other,Electricity and petroleum fuels,2008,347987.0,20.0,2020.0,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,"(38.660815, -9.079072)","(39.399872, -8.224454)",11
Birmingham City Council,1850,United Kingdom,Birmingham,,2016,Total,City authority,1990,6874000.0,60.0,2027.0,This is in line with national carbon budget periods,"(52.480174, -1.902907)","(55.378051, -3.435973)",12
City of Ærøskøbing,58609,Denmark,City Of Ærøskøbing,,2016,Total,,2015,3063483.0,10.0,,,"(54.891456, 10.404684)","(56.26392, 9.501785)",13
City of Akureyri,59151,Iceland,Akureyri,,2016,Total,,1990,3063483.0,40.0,2030.0,,"(65.688492, -18.126169)","(64.963051, -19.020835)",14
City of Bournemouth,54521,United Kingdom,Bournemouth,,2016,Total,Entire Inventory,2005,1075590.0,30.0,2020.0,The 2005 baseline emissions are 5.7tCO2e per person.  The target for 2020 is 3.99 tonnes CO2e per person. The outturn figure for 2013 was 4.1 tonnes of CO2 per person.,"(50.719164, -1.880769)","(55.378051, -3.435973)",15
City of Cardiff,31052,United Kingdom,Cardiff,,2016,Total,,2005,2667000.0,26.0,2020.0,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)","(51.481581, -3.17909)","(55.378051, -3.435973)",16
City of Helsinki,8242,Finland,Helsinki,,2016,Total,"Energy consumption in the area, transport emissions, waste management, agriculture, industry",1990,3615000.0,30.0,2020.0,City Council Strategy 2013-2016,"(60.1733244, 24.9410248)","(61.92411, 25.748151)",17
City of Helsinki,8242,Finland,Helsinki,,2016,Total,"per capita emissions based on energy consumption, transport and waste management",1990,3615000.0,39.0,2030.0,Climate strategy for the metropolitan area. Target achieved in 2014.,"(60.1733244, 24.9410248)","(61.92411, 25.748151)",17
City of Helsinki,8242,Finland,Helsinki,,2016,Total,"Energy consumption in the area, transport emissions, waste water management",1990,3615000.0,20.0,2020.0,"City's energy policy lines, Covenant of Mayors. Target achieved in 2013.","(60.1733244, 24.9410248)","(61.92411, 25.748151)",17
City of Lahti,54402,Finland,Lahti,,2016,Buildings,"Energy production (electricity and heating)
Energy effiency
Waste treatment
Traffic
Residents's attitudes",1990,747000.0,35.0,2020.0,In the City strategy: -50% by 2015 (from 1990 level),"(60.9833, 25.65)","(61.92411, 25.748151)",18
City of Leicester,54529,United Kingdom,Leicester,,2016,Other,Within the scope of the local authority,1990,2388300.0,50.0,2025.0,"Transport, domestic electricity and gas use, and industrial electricity and gas use","(52.6333, -1.1333)","(55.378051, -3.435973)",19
City of Lisbon,36159,Portugal,Lisbon,,2016,Other,,2002,3887013.0,20.0,2020.0,,"(38.7222524, -9.1393366)","(39.399872, -8.224454)",20
City of Porto,46514,Portugal,Porto,,2016,Total,Community emissions,2004,1300000.0,45.0,2020.0,Sustainable Energy Action Plan reduction target. Reductions from action at a local level (demand management) and national level (supply management).,"(41.1579438, -8.6291053)","(39.399872, -8.224454)",21
City of Reykjavík,54459,Iceland,Reykjavík,,2016,Total,"Transportation, land use and waste",2007,339990.0,35.0,2020.0,,"(64.12652, -21.81744)","(64.963051, -19.020835)",22
City of Reykjavík,54459,Iceland,Reykjavík,,2016,Total,"Transportation, land use and waste",2007,339990.0,73.0,2050.0,,"(64.12652, -21.81744)","(64.963051, -19.020835)",22
City of Turku,50154,Finland,Turku,,2016,Total,"all, but only scopes 1 and 2 are actually measured",2013,1107500.0,100.0,2040.0,"In 2014 ambitious target was set by the city council, which aims to make Turku carbon-neutral by 2040.","(60.4518126, 22.2666303)","(61.92411, 25.748151)",23
City of Wroclaw,54497,Poland,City Of Wroclaw,,2016,Total,,1990,6988259.0,21.0,2020.0,,"(51.107885, 17.038538)","(51.919438, 19.145136)",24
City of Zaragoza,46473,Spain,Zaragoza,,2016,Other,Sectores industrial y primario,2010,1237553.0,20.0,2020.0,,"(41.608629, -0.887012)","(40.463667, -3.74922)",25
Comune di Bologna,36274,Italy,Bologna,,2016,Other,City Energy consumption,2005,2288510.0,21.0,2020.0,4%  reduction obetained at  the end of 2010,"(44.4856087, 11.3547975)","(41.87194, 12.56738)",26
Comune di Bolzano,36261,Italy,Bolzano,,2016,Total,,2010,520715.0,23.0,2020.0,,"(46.499681, 11.356576)","(41.87194, 12.56738)",27
Comune di Ferrara,36286,Italy,Ferrara,,2016,Total,"buildings, equipment, facilities and industries; transport; waste management, waste water management, othe emissions (agricolture and other sources)",2007,1582605.13,25.5,2020.0,,"(44.8357395, 11.6189949)","(41.87194, 12.56738)",28
Comune di Genova,36262,Italy,Genova,,2016,Other,SEAP,2005,2215759.0,23.0,2020.0,,"(44.347961, 9.318415)","(41.87194, 12.56738)",29
Comune di Padova,36494,Italy,Padova,,2016,Total,Total inventory (sectors and specific projects see below),2005,1892158.0,20.0,2020.0,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.","(45.406958, 11.876386)","(41.87194, 12.56738)",30
City of Ann Arbor,54092,USA,Ann Arbor,,2016,,,2000,3063483.0,80.0,2050.0,,"(42.2808, -83.743)","(37.09024, -95.712891)",31
Comune di Piacenza,36495,Italy,Piacenza,,2016,,,1990,263270.0,20.4,2020.0,"The emission reduction is calculated with respect to the reference scenario (BAU) in 2020.
Were considered only CO2 emissions related to the areas of competence of the Municipality of Piacenza.","(45.0519969, 9.6926451)","(41.87194, 12.56738)",32
