WardName,WardCode,MajorText,MinorText,LookUp_BoroughName,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401
Fullwell,E05011243,Burglary,Burglary Business and Community,Redbridge,3.0,1.0,3.0,5.0,0.0,1.0,1.0,3.0,3.0,6.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Regent's Park,E05013805,Robbery,Robbery of Personal Property,Westminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,8.0,5.0,3.0,10.0,8.0,0.0,12.0,6.0,10.0,2.0,8.0,4.0,23.0,10.0,13.0,4.0,5.0,7.0,5.0,6.0,6.0,7.0
Sands End,E05013747,Theft,Bicycle Theft,Hammersmith and Fulham,6.0,6.0,3.0,3.0,9.0,8.0,7.0,10.0,2.0,7.0,1.0,3.0,6.0,3.0,6.0,1.0,5.0,0.0,2.0,4.0,2.0,5.0,2.0,2.0,0.0,4.0,5.0,11.0,5.0,6.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,8.0,4.0,3.0,5.0,4.0,8.0,1.0,3.0,0.0,1.0,1.0,2.0,7.0,6.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,6.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,4.0,8.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Berrylands,E05013929,Robbery,Robbery of Personal Property,Kingston upon Thames,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Canons,E05013543,Theft,Theft from Person,Harrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Lea Bridge,E05009380,Burglary,Burglary Business and Community,Hackney,3.0,3.0,4.0,5.0,6.0,7.0,2.0,4.0,1.0,5.0,1.0,8.0,9.0,2.0,2.0,5.0,7.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,8.0,4.0,6.0,4.0,2.0,5.0,8.0,8.0,9.0,5.0,6.0,5.0,3.0,6.0,5.0,1.0,2.0,2.0,2.0,3.0,5.0,16.0,8.0,9.0,5.0,6.0,3.0,3.0,4.0,0.0,2.0,6.0,6.0,3.0,7.0,5.0,5.0,4.0,8.0,11.0,7.0,1.0,0.0,3.0,4.0,15.0,9.0,3.0,5.0,7.0,7.0,4.0,5.0,8.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,5.0,6.0,6.0,2.0,3.0,9.0,3.0,5.0,6.0,6.0,3.0,0.0,4.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,3.0,5.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,6.0,1.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
London Bridge & West Bermondsey,E05011104,Burglary,Domestic Burglary,Southwark,9.0,12.0,10.0,13.0,5.0,12.0,2.0,4.0,8.0,3.0,0.0,4.0,6.0,9.0,4.0,8.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,8.0,2.0,9.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,6.0,5.0,9.0,5.0,6.0,7.0,2.0,7.0,8.0,8.0,5.0,4.0,6.0,8.0,3.0,4.0,6.0,1.0,2.0,0.0,5.0,4.0,6.0,5.0,2.0,3.0,0.0,4.0,6.0,4.0,5.0,8.0,10.0,5.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,6.0,5.0,2.0,2.0,10.0,9.0,1.0,14.0,15.0,8.0,4.0,15.0,9.0,14.0,10.0,7.0,10.0,4.0,10.0,8.0,9.0,13.0,5.0,10.0,7.0,5.0,11.0,10.0,7.0,9.0,15.0,4.0,10.0,15.0,16.0,18.0,10.0,6.0,18.0,13.0,8.0,8.0,2.0,7.0,9.0,8.0,14.0,12.0,6.0,12.0,12.0,12.0,10.0,6.0,11.0,9.0,9.0,10.0,10.0,5.0,11.0,13.0,10.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
Ruislip,E05013577,Robbery,Robbery of Business Property,Hillingdon,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Hampstead Town,E05013659,Burglary,Domestic Burglary,Camden,3.0,5.0,8.0,6.0,8.0,3.0,3.0,7.0,3.0,15.0,12.0,17.0,13.0,10.0,1.0,2.0,6.0,12.0,5.0,10.0,5.0,10.0,4.0,12.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,6.0,5.0,5.0,8.0,2.0,7.0,4.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,4.0,5.0,0.0,5.0,4.0,5.0,4.0,2.0,12.0,3.0,8.0,7.0,6.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,6.0,7.0,3.0,10.0,9.0,4.0,5.0,4.0,1.0,2.0,4.0,7.0,5.0,4.0,1.0,4.0,6.0,3.0,2.0,4.0,3.0,8.0,8.0,2.0,9.0,8.0,5.0,20.0,16.0,9.0,9.0,3.0,5.0,7.0,4.0,5.0,6.0,6.0,11.0,5.0,7.0,6.0,4.0,4.0,2.0,5.0,3.0,4.0,7.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
